participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hsi3u01b,stackedline,positive,1,stackedlinepositive,0.3,above,0.35
hs6gpcrk,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.193333333
hs6gpcrk,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.0475
hs6gpcrk,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.153333333
hs6gpcrk,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.231666667
hs7v282n,stackedline,negative,-1,stackedlinenegative,0.5,below,0.821666667
hs7v282n,stackedline,negative,-1,stackedlinenegative,0.5,above,0.43375
hs7v282n,stackedline,negative,-1,stackedlinenegative,0.8,above,0.03625
hs7v282n,stackedline,negative,-1,stackedlinenegative,0.8,below,0.083333333
hs59g3pn,stackedbar,positive,1,stackedbarpositive,0.8,below,0.305
hs59g3pn,stackedbar,positive,1,stackedbarpositive,0.5,above,0.3
hs59g3pn,stackedbar,positive,1,stackedbarpositive,0.8,above,0.1
hs59g3pn,stackedbar,positive,1,stackedbarpositive,0.5,below,0.383333333
hs6c8ok4,stackedbar,negative,-1,stackedbarnegative,0.7,above,0.030416667
hs6c8ok4,stackedbar,negative,-1,stackedbarnegative,0.7,below,0.083333333
hs6c8ok4,stackedbar,negative,-1,stackedbarnegative,0.4,below,0.216666667
hs6c8ok4,stackedbar,negative,-1,stackedbarnegative,0.4,above,0.121666667
hrjfs2jy,scatterplot,positive,1,scatterplotpositive,0.8,below,0.034583333
hrjfs2jy,scatterplot,positive,1,scatterplotpositive,0.4,below,0.13
hrjfs2jy,scatterplot,positive,1,scatterplotpositive,0.4,above,0.111666667
hrjfs2jy,scatterplot,positive,1,scatterplotpositive,0.8,above,0.046666667
hsytbzz9,ordered_line,negative,-1,ordered_linenegative,0.4,below,0.228333333
hsytbzz9,ordered_line,negative,-1,ordered_linenegative,0.7,below,0.191666667
hsytbzz9,ordered_line,negative,-1,ordered_linenegative,0.4,above,0.203333333
hsytbzz9,ordered_line,negative,-1,ordered_linenegative,0.7,above,0.163333333
hsl1y7yb,donut,positive,1,donutpositive,0.5,below,0.83
hsl1y7yb,donut,positive,1,donutpositive,0.8,above,0.182916667
hsl1y7yb,donut,positive,1,donutpositive,0.5,above,0.415416667
hsl1y7yb,donut,positive,1,donutpositive,0.8,below,0.581666667
hsjb33r7,stackedarea,positive,1,stackedareapositive,0.7,below,0.556666667
hsjb33r7,stackedarea,positive,1,stackedareapositive,0.4,above,0.567916667
hsjb33r7,stackedarea,positive,1,stackedareapositive,0.4,below,0.413333333
hsjb33r7,stackedarea,positive,1,stackedareapositive,0.7,above,0.287083333
hs1wtz4v,line,positive,1,linepositive,0.7,below,0.365
hs1wtz4v,line,positive,1,linepositive,0.4,above,0.418333333
hs1wtz4v,line,positive,1,linepositive,0.7,above,0.18
hs1wtz4v,line,positive,1,linepositive,0.4,below,0.525
hs1tsvh8,line,positive,1,linepositive,0.5,above,0.216666667
hs1tsvh8,line,positive,1,linepositive,0.5,below,0.16
hs1tsvh8,line,positive,1,linepositive,0.8,above,0.103333333
hs1tsvh8,line,positive,1,linepositive,0.8,below,0.126666667
hsyov9cq,ordered_line,negative,-1,ordered_linenegative,0.6,above,0.046666667
hsyov9cq,ordered_line,negative,-1,ordered_linenegative,0.3,above,0.155
hsyov9cq,ordered_line,negative,-1,ordered_linenegative,0.3,below,0.388333333
hsyov9cq,ordered_line,negative,-1,ordered_linenegative,0.6,below,0.161666667
hskmzj3e,donut,negative,-1,donutnegative,0.3,above,0.221666667
hskmzj3e,donut,negative,-1,donutnegative,0.6,above,0.12
hskmzj3e,donut,negative,-1,donutnegative,0.3,below,0.215
hskmzj3e,donut,negative,-1,donutnegative,0.6,below,0.125
hsxygwgo,ordered_line,positive,1,ordered_linepositive,0.5,below,0.068333333
hsxygwgo,ordered_line,positive,1,ordered_linepositive,0.8,above,0.078333333
hsxygwgo,ordered_line,positive,1,ordered_linepositive,0.5,above,0.171666667
hsxygwgo,ordered_line,positive,1,ordered_linepositive,0.8,below,0.175
hskxinam,donut,positive,1,donutpositive,0.4,below,0.516666667
hskxinam,donut,positive,1,donutpositive,0.4,above,0.25
hskxinam,donut,positive,1,donutpositive,0.7,above,0.276666667
hskxinam,donut,positive,1,donutpositive,0.7,below,0.435
hsxyqqfp,ordered_line,positive,1,ordered_linepositive,0.8,below,0.075
hsxyqqfp,ordered_line,positive,1,ordered_linepositive,0.5,above,0.163333333
hsxyqqfp,ordered_line,positive,1,ordered_linepositive,0.5,below,0.088333333
hsxyqqfp,ordered_line,positive,1,ordered_linepositive,0.8,above,0.044583333
hs7ivb2o,stackedline,negative,-1,stackedlinenegative,0.6,below,0.501666667
hs7ivb2o,stackedline,negative,-1,stackedlinenegative,0.3,below,0.206666667
hs7ivb2o,stackedline,negative,-1,stackedlinenegative,0.6,above,0.13
hs7ivb2o,stackedline,negative,-1,stackedlinenegative,0.3,above,0.086666667
hrsjzs02,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.4,above,0.045
hrsjzs02,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.7,below,0.032916667
hrsjzs02,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.7,above,0.075
hrsjzs02,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.4,below,0.13
hsxt8f2g,ordered_line,positive,1,ordered_linepositive,0.6,below,0.106666667
hsxt8f2g,ordered_line,positive,1,ordered_linepositive,0.6,above,0.191666667
hsxt8f2g,ordered_line,positive,1,ordered_linepositive,0.3,below,0.378333333
hsxt8f2g,ordered_line,positive,1,ordered_linepositive,0.3,above,0.263333333
hs6go4gk,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.198333333
hs6go4gk,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.185
hs6go4gk,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.138333333
hs6go4gk,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.057916667
hscf2qzg,line,negative,-1,linenegative,0.8,below,0.258333333
hscf2qzg,line,negative,-1,linenegative,0.5,above,0.168333333
